codigo_ibge,nome_municipio
1200,Barras
1309,Barreiras do Piauí
1408,Barro Duro
1507,Batalha
1556,Bela Vista do Piauí
1572,Belém do Piauí
1606,Beneditinos
1705,Bertolínia
1739,Betânia do Piauí
1770,Boa Hora
1804,Bocaina
1903,Bom Jesus
1919,Bom Princípio do Piauí
1929,Bonfim do Piauí
1945,Boqueirão do Piauí
1960,Brasileira
1988,Brejo do Piauí
2000,Buriti dos Lopes
2026,Buriti dos Montes
2059,Cabeceiras do Piauí
2075,Cajazeiras do Piauí
2083,Cajueiro da Praia
2091,Caldeirão Grande do Piauí
2109,Campinas do Piauí
2117,Campo Alegre do Fidalgo
2133,Campo Grande do Piauí
2174,Campo Largo do Piauí
2208,Campo Maior
2251,Canavieira
2307,Canto do Buriti
2406,Capitão de Campos
2455,Capitão Gervásio Oliveira
2505,Caracol
2539,Caraúbas do Piauí
2554,Caridade do Piauí
2604,Castelo do Piauí
2653,Caxingó
2703,Cocal
2711,Cocal de Telha
2729,Cocal dos Alves
2737,Coivaras
2752,Colônia do Gurguéia
2778,Colônia do Piauí
2802,Conceição do Canindé
2851,Coronel José Dias
2901,Corrente
3008,Cristalândia do Piauí
3107,Cristino Castro
3206,Curimatá
3230,Currais
3271,Curral Novo do Piauí
3255,Curralinhos
3305,Demerval Lobão
3354,Dirceu Arcoverde
3404,Dom Expedito Lopes
3453,Dom Inocêncio
3420,Domingos Mourão
3503,Elesbão Veloso
3602,Eliseu Martins
3701,Esperantina
3750,Fartura do Piauí
3800,Flores do Piauí
3859,Floresta do Piauí
3909,Floriano
4006,Francinópolis
4105,Francisco Ayres
4154,Francisco Macedo
4204,Francisco Santos
4303,Fronteiras
4352,Geminiano
4402,Gilbués
4501,Guadalupe
4550,Guaribas
4600,Hugo Napoleão
4659,Ilha Grande
4709,Inhuma
4808,Ipiranga do Piauí
4907,Isaías Coelho
5003,Itainópolis
5102,Itaueira
5151,Jacobina do Piauí
5201,Jaicós
5250,Jardim do Mulato
5276,Jatobá do Piauí
5300,Jerumenha
5359,João Costa
5409,Joaquim Pires
5458,Joca Marques
5508,José de Freitas
5516,Juazeiro do Piauí
5524,Júlio Borges
5532,Jurema
5557,Lagoa Alegre
5573,Lagoa de São Francisco
5565,Lagoa do Barro do Piauí
5581,Lagoa do Piauí
5599,Lagoa do Sítio
5540,Lagoinha do Piauí
5607,Landri Sales
5706,Luís Correia
5805,Luzilândia
5854,Madeiro
5904,Manoel Emídio
5953,Marcolândia
6001,Marcos Parente
6050,Massapê do Piauí
6100,Matias Olímpio
6209,Miguel Alves
6308,Miguel Leão
6357,Milton Brandão
6407,Monsenhor Gil
6506,Monsenhor Hipólito
6605,Monte Alegre do Piauí
6654,Morro Cabeça no Tempo
6670,Morro do Chapéu do Piauí
6696,Murici dos Portelas
6704,Nazaré do Piauí
6720,Nazária
6753,Nossa Senhora de Nazaré
6803,Nossa Senhora dos Remédios
7959,Nova Santa Rita
6902,Novo Oriente do Piauí
6951,Novo Santo Antônio
7009,Oeiras
7108,Olho D'Água do Piauí
7207,Padre Marcos
7306,Paes Landim
7355,Pajeú do Piauí
7405,Palmeira do Piauí
7504,Palmeirais
7553,Paquetá
7603,Parnaguá
7702,Parnaíba
7751,Passagem Franca do Piauí
7777,Patos do Piauí
7793,Pau D'Arco do Piauí
7801,Paulistana
7850,Pavussu
7900,Pedro II
7934,Pedro Laurentino
8007,Picos
8106,Pimenteiras
8205,Pio IX
8304,Piracuruca
8403,Piripiri
8502,Porto
8551,Porto Alegre do Piauí
8601,Prata do Piauí
8650,Queimada Nova
8700,Redenção do Gurguéia
8809,Regeneração
8858,Riacho Frio
8874,Ribeira do Piauí
8908,Ribeiro Gonçalves
9005,Rio Grande do Piauí
9104,Santa Cruz do Piauí
9153,Santa Cruz dos Milagres
9203,Santa Filomena
9302,Santa Luz
9377,Santa Rosa do Piauí
9351,Santana do Piauí
9401,Santo Antônio de Lisboa
9450,Santo Antônio dos Milagres
9500,Santo Inácio do Piauí
9559,São Braz do Piauí
9609,São Félix do Piauí
9658,São Francisco de Assis do Piauí
9708,São Francisco do Piauí
9757,São Gonçalo do Gurguéia
9807,São Gonçalo do Piauí
9856,São João da Canabrava
9872,São João da Fronteira
9906,São João da Serra
9955,São João da Varjota
9971,São João do Arraial
10003,São João do Piauí
10052,São José do Divino
10102,São José do Peixe
10201,São José do Piauí
10300,São Julião
10359,São Lourenço do Piauí
10375,São Luis do Piauí
10383,São Miguel da Baixa Grande
10391,São Miguel do Fidalgo
